Unnamed: 0,sentence,labels
4160,"To confirm, how do you spell your name? The advice given is general in nature.",general advice warning/did rep ask for the spelling of customer name?
4161,"If we had we doubted the validity of it said said form which because we take we take all of these things via email and you can't you could stamp the validity of it via email, but then it'd be a copy again, so it would be no good.",irrelevant
4162,This with regards to the quotation request for the purchase of your property. You requested about to on website.,irrelevant
4164,"Um, I just started looking her. So the breeder that I got us through has host Repent plan at the moment. And I have 63 weeks and then that is a dead end of this month.",irrelevant
4165,"So just put it on the put it on the scanner and scan it through this assuming. Um, your daughter doesn't have access to those facilities itself. Have you got a a a pamphlet or a document or a Thursday or something outlining all those steps that you've okay so clearly explained to me no problems.",irrelevant
4166,Just have a look at it when you do bring them up. I can't get yet. All right. Cool.,irrelevant
4167,"Yep. On what would be the breed? It's a meaning brutal. Mimi. Brutal. Is it a group, um, poodle or a brutal griddle?",irrelevant
4168,But I have included that in the quote for you.,irrelevant
4169,"All right. Thanks for that. And, uh, again, you have the premium cover. Accidental injury and illness Cover with an annual benefit limit off up to $20,000. You can claim up to 85% of eligible veterinary. Expensive after the $50 excess. So okay.",irrelevant
4170,"Yeah. Okay, right.",irrelevant
4171,"Okay that could yeah, if you could just send me that flier by email, that would be awesome and I could just put a request in for a prediction on on the next say five years for that $30,000 cover if they listed as a smart plan policy.",irrelevant
4172,Yes. Good morning. Yes. Mrs. Hutchinson speaking,irrelevant
4173,"You'll get a better. Oh, I'm sure Will. Yeah.",irrelevant
4174,No worries. You have a good day. You too. Bye now. Bye.,call closing greeting
4175,"Firstly, in the last five years, have you or person between insurance policy had hospital treat had treatment of a hospital consultation for cancer condition? No. K. And the last five years have you suffered from or received any form medical advice treatment medication for? Any blood secret conditions such as high blood pressure high hypertension or high cholesterol? I medication for hard blood pressure. Yeah. And any related condition? No. Any diabetic commission? No. Any neurological conditions just stroke brain or epilepsy? No. Any breathing conditions which as Asthma and c or c d? None. K. Alt prices any operated edition or any current or back pain related issue? Yeah The after arthritis. Yeah. Yeah. You do yeah. You just closed last time you do have Arthritis. Okay. Yes. Alright. Any bowel conditions Crohn's disease or? No. Any psychiatric psychological conditions such as anxiety depression. None. And finally, time last twelve months, have you or any person to be insured in this policy when your referred to been seen by household, other than accident or emergency doctor, and he's in inpatient treatment at hospital. Yes. Okay. So you have a quite inpatient treatment. Okay? I'm just gonna make this pretty quick and I will just copy the answers you provided previously. And just confirm them with you. Yes. Since since... Yes. So. So yes. So we'll start with control blood pressure on. And is there anything else that happens since then? I had my gold letter app. Okay. So you just take one medication to a high blood pressure communication, so hard appreciate. Nothing's changed in the past six months? No. And you gave about smoking more than ten years ago? Oh, yes. And have you been about to take medication to lower your cholesterol? No. And we're gonna do off Arthritis next. Find and have you any joints replaced to resurfaced? Left. Okay. And how many joints replacement or joint res servicing and operations have you had. Two on my knee. K. On the last occasion, you said you had one no. Let me explain. And then I rang I had... I've had my knee replaced, but they've gone in and they cleaned it up after the knee replacement, but I only had the one knee replacement. But, you know, you want me to be honest Yeah. So it's gone in after the new replacement between july. But I've only have the one here because. Okay. So and is a total sound. Should i should I enter one joint replacement? One. Because it's only the one jointly replacement me. I and do you use my mobility aids? No. Okay. You're a little to walking independently. That's good. Are you waiting to a replacement or res servicing surgery? No. And has your joint replacement ever dis? No. Have you ever needed treatment for nickel or back problems? Nick not. But back in nineteen ninety seven. Okay. And the last five years has this condition affected your ability to to wash street feet address yourself. No. You take... You don't take any pain relief fairly this condition? No. And you haven't had any treatments on your nickel back in the last twelve months? No. And are you working any further scans or injections? No? No. Have you had unplanned hospital admissions last two years? Well, no. I paid it was planned so my bless. And have you had... Do you take strong pan yield at home in last twelve months? No. And your age sixteen or okay. Slightly. Yeah. And your height and weight is still a hundred and seventy one centimeters and eighty kilograms. Yes. Yes. Okay. Okay. And so we've already put that. And you you mentioned gold blood off. You had to go gallbladder remote. Yeah. Find. That's there's nothing under gold It's such gaul, call gallbladder removal there we go. Right. Are there any further investigations or treatment regarding relating bi stein? Yeah. Nothing. And how long ago was the procedure to remove the gold gallbladder? Six weeks. That's more than three weeks ago. Gotcha. Yeah. Okay. Gonna the light wipes I think? Yeah know. I can only answer less three weeks so more than three weeks. Okay. Any other any other preexisting medical? No. No. Okay. I'm just hitting the screening button.",pre-screening medical questionnaire
4176,"So, originally, I was in Hawaii, and I took out travel insurance with TIC. And while I was over there, I got this really bad rash on both my legs.",irrelevant
